Indicator Name,Indicator Code,Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"International tourism, number of arrivals",ST.INT.ARVL,Ghana,GHA,584000,429000,497000,587000,698000,803000,931000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Greece,GRC,13313000,14765000,16039000,16165000,15939000,14915000,15007000,16427000,,
"International tourism, number of arrivals",ST.INT.ARVL,Greenland,GRL,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Grenada,GRD,134000,99000,119000,130000,130000,114000,110000,118000,,
"International tourism, number of arrivals",ST.INT.ARVL,Guam,GUM,1160000,1228000,1212000,1225000,1142000,1053000,1196000,1159000,,
"International tourism, number of arrivals",ST.INT.ARVL,Guatemala,GTM,1182000,1316000,1502000,1628000,1715000,1777000,1876000,1823000,,
"International tourism, number of arrivals",ST.INT.ARVL,Guinea,GIN,45000,45000,46000,30000,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Guinea-Bissau,GNB,,5000,12000,30000,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Guyana,GUY,122000,117000,113000,134000,130000,141000,152000,157000,,
"International tourism, number of arrivals",ST.INT.ARVL,Haiti,HTI,96000,112000,108000,386000,258000,387000,255000,349000,,
"International tourism, number of arrivals",ST.INT.ARVL,Honduras,HND,641000,673000,739000,804000,869000,836000,863000,871000,,
"International tourism, number of arrivals",ST.INT.ARVL,"Hong Kong SAR, China",HKG,13655000,14773000,15821000,17154000,17319000,16926000,20085000,22316000,,
"International tourism, number of arrivals",ST.INT.ARVL,Hungary,HUN,12212000,9979000,9259000,8638000,8814000,9058000,9510000,10250000,,
"International tourism, number of arrivals",ST.INT.ARVL,Iceland,ISL,360000,374000,422000,485000,502000,494000,489000,566000,,
"International tourism, number of arrivals",ST.INT.ARVL,India,IND,3457000,3919000,4447000,5082000,5283000,5168000,5776000,6309000,,
"International tourism, number of arrivals",ST.INT.ARVL,Indonesia,IDN,5321000,5002000,4871000,5506000,6234000,6324000,7003000,7650000,,
"International tourism, number of arrivals",ST.INT.ARVL,"Iran, Islamic Rep.",IRN,1659000,1889000,2735000,2219000,2034000,2116000,2938000,3354000,,
"International tourism, number of arrivals",ST.INT.ARVL,Iraq,IRQ,,,,,864000,1262000,1518000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Ireland,IRL,6953000,7333000,8001000,8332000,8026000,7189000,7134000,7630000,,
"International tourism, number of arrivals",ST.INT.ARVL,Isle of Man,IMY,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Israel,ISR,1506000,1903000,1825000,2067000,2572000,2321000,2803000,2820000,,
"International tourism, number of arrivals",ST.INT.ARVL,Italy,ITA,37071000,36513000,41058000,43654000,42734000,43239000,43626000,46119000,,
"International tourism, number of arrivals",ST.INT.ARVL,Jamaica,JAM,1415000,1479000,1679000,1701000,1767000,1831000,1922000,1952000,,
"International tourism, number of arrivals",ST.INT.ARVL,Japan,JPN,6138000,6728000,7334000,8347000,8351000,6790000,8611000,6219000,,
"International tourism, number of arrivals",ST.INT.ARVL,Jordan,JOR,2853000,2987000,3225000,3431000,3729000,3789000,4557000,3975000,,
"International tourism, number of arrivals",ST.INT.ARVL,Kazakhstan,KAZ,3073000,3143000,3468000,3876000,3447000,3118000,3393000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Kenya,KEN,1199000,1399000,1464000,1686000,1141000,1392000,1470000,,,
"International tourism, number of arrivals",ST.INT.ARVL,Kiribati,KIR,3400,4100,4400,4700,3900,3900,4700,5300,,
"International tourism, number of arrivals",ST.INT.ARVL,"Korea, Dem. Rep.",PRK,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,"Korea, Rep.",KOR,5818000,6023000,6155000,6448000,6891000,7818000,8798000,9795000,,
"International tourism, number of arrivals",ST.INT.ARVL,Kosovo,KSV,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Kuwait,KWT,91000,104000,185000,293000,259000,297000,207000,269000,,
"International tourism, number of arrivals",ST.INT.ARVL,Kyrgyz Republic,KGZ,398000,319000,766000,1656000,2435000,2147000,1316000,3114000,,
"International tourism, number of arrivals",ST.INT.ARVL,Lao PDR,LAO,407000,672000,842000,1142000,1295000,1239000,1670000,1786000,,
"International tourism, number of arrivals",ST.INT.ARVL,Latvia,LVA,1079000,1116000,1535000,1653000,1684000,1323000,1373000,1493000,,
"International tourism, number of arrivals",ST.INT.ARVL,Lebanon,LBN,1278000,1140000,1063000,1017000,1333000,1844000,2168000,1655000,,
"International tourism, number of arrivals",ST.INT.ARVL,Lesotho,LSO,,,347000,292000,285000,320000,414000,397000,,
"International tourism, number of arrivals",ST.INT.ARVL,Liberia,LBR,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Libya,LBY,43000,81000,42000,38000,34000,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,Liechtenstein,LIE,49000,50000,55000,58000,58000,52000,50000,53000,,
"International tourism, number of arrivals",ST.INT.ARVL,Lithuania,LTU,1800000,2000000,2180000,1486000,1611000,1341000,1507000,1775000,,
"International tourism, number of arrivals",ST.INT.ARVL,Luxembourg,LUX,878000,913000,908000,917000,879000,849000,793000,871000,,
"International tourism, number of arrivals",ST.INT.ARVL,"Macao SAR, China",MAC,8324000,9014000,10683000,12945000,10610000,10402000,11926000,12925000,,
"International tourism, number of arrivals",ST.INT.ARVL,"Macedonia, FYR",MKD,165000,197000,202000,230000,255000,259000,262000,327000,,
"International tourism, number of arrivals",ST.INT.ARVL,Madagascar,MDG,229000,277000,312000,344000,375000,163000,196000,225000,,
"International tourism, number of arrivals",ST.INT.ARVL,Malawi,MWI,427000,438000,638000,735000,742000,755000,746000,767000,,
"International tourism, number of arrivals",ST.INT.ARVL,Malaysia,MYS,15703000,16431000,17547000,20973000,22052000,23646000,24577000,24714000,,
"International tourism, number of arrivals",ST.INT.ARVL,Maldives,MDV,617000,395000,602000,676000,683000,656000,792000,931000,,
"International tourism, number of arrivals",ST.INT.ARVL,Mali,MLI,113000,143000,153000,164000,190000,160000,169000,160000,,
"International tourism, number of arrivals",ST.INT.ARVL,Malta,MLT,1156000,1171000,1124000,1244000,1291000,1182000,1336000,1412000,,
