Indicator Name,Indicator Code,Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,366976849.444881,361615917.777778,382299140.37037,412687870.740741,452162608.518519,482161712.962963,474886713.703704,476475691.111111,479638820.259259,
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,22039232609.9553,34004033803.9438,35902290283.6451,41227268056.8147,45712378190.2552,46710144685.5871,51653902770.2336,55668552666.1413,58951239185.7506,
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,67513698000,76769729000,84039856000,
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,78845185709.4117,89685724889.1628,107484034648.245,130477817194.412,162818181818.182,188984088127.295,218887812549.851,235983523193.63,257285845358.245,
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,15798300000,17093800000,18550700000,20104900000,21431000000,20661000000,21418300000,23139000000,23864400000,
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,5240842261.15571,8217368425.2764,7765111493.54484,10304490483.0189,15471010922.6482,10356293894.4756,12261420852.3549,16806886027.9694,17697394251.2135,
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,1109054002.42096,1098425899.89884,1211161879.50862,1317974493.40894,1380188800.03147,1856695550.46865,2117039510.70194,2607739837.39837,3091837398.37398,
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,12025943709.9948,13905561150.0771,16798495347.749,21993658963.8097,23781539698.9783,19117606972.6315,18845656094.7368,22154665058.3333,21854197100.7971,
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,10053969882.4019,12306605472.926,15164300429.3753,19556749918.8875,26860564178.7162,32188958761.3238,29706216184.266,31708848032.8412,43133073099.5316,
GDP (current US$),NY.GDP.MKTP.CD,Faeroe Islands,FRO,1683997930.26322,1730894295.38595,1970135198.76236,2278229880.41222,2412859692.82674,2198138372.28824,,,,
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,2727507212.92556,3006725014.78415,3103099942.22992,3405050611.68726,3590530212.71256,2882056552.641,3173316478.13168,3818108967.20946,3881890698.24922,
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,189064585622.668,195777993334.328,207949409201.133,246127357186.459,271974219064.709,239382754295.034,235257894736.842,263179166666.667,250024427873.489,
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2055678853687.46,2136555489230.46,2255705477450.04,2582389733356.33,2831794045482.84,2619685000757.11,2548315434210.53,2779719500000,2612878387760.35,
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,7178135606.41428,8665736617.5506,9545982814.08494,11570860872.2274,15732285212.1906,12075742374.6549,14539337959.0646,18791347238.5449,18661104043.3105,
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,578785600.648136,624173996.312708,655068112.286777,798869805.089884,965771303.038565,900629372.999551,951805801.354012,898282865.871322,917292053.029626,
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,5125273877.24618,6411147323.20169,7761900179.11307,10172260738.4907,12799337249.9695,10766836276.5639,11638200595.5015,14434568633.2642,15829225458.7295,
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,2726341472500.05,2766253792966.22,2902748698160.05,3323807412152.12,3623686234298.9,3298635952561.88,3284473684210.53,3600833333333.33,3399588583183.34,
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,8881419348.21594,10731883141.4457,20410257645.7189,24757642257.3007,28528046010.8161,25977853492.3339,32174210792.9631,39564970069.7821,40710781538.5757,
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,227950420085.709,240075690332.289,261713232775.632,305431771154.799,341593975533.013,321016154721.238,292304602598.684,289627362870.833,249098684277.449,
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,1644951892.18151,1702543476.55709,1738432116.43728,2121759848.4242,1739579593.56673,1267711816.12426,,,,
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,600014340.551513,700431791.333632,698700643.586427,758683585.119683,825977859.116409,771277512.675044,769708641.59164,780334231.403986,789542404.389512,
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,23965280312.0871,27211230373.8306,30231130542.9832,34113106486.1272,39136286496.2176,37733791088.9585,41338161799.1082,47688885121.1624,50544684808.2698,
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,3666349049.40435,2937072009.03751,2821346683.52022,4209332039.8803,3778259934.1292,4164652171.29136,4735956475.83803,5095824523.90933,6767919333.3274,
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,522651787.703763,572853553.530448,578517348.941903,690721769.225811,842890956.086099,832530156.75007,835390892.988319,967762548.677982,897408214.281064,
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,785918769.749001,824880550.343965,1458449057.88559,1740335068.52925,1922597806.51498,2025565089.48272,2259288026.41972,2576731667.32023,2850572407.04501,
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,3660483885.68707,4154289832.39201,4879738635.95586,5971284337.50737,6407707284.45521,6470254240.08231,6634579143.36112,7346156702.64438,7843484458.14557,
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,8871111446.50879,9714443493.88914,10914708994.709,12358052910.0529,13884492063.4921,14583714285.7143,15835238095.2381,17707600422.833,18528362333.6745,
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,169099768875.193,181570082162.19,193536265094.364,211597405593.868,219279678430.164,214046415026.187,228695747309.89,248725976361.768,263259372904.956,
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,101925734602.027,110321711572.908,112533152716.384,136102020866.708,154233541852.268,126631684032.783,127956809656.632,138696911369.74,125507525410.477,
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,13251434311.4214,16286323127.4323,16651492783.5423,20428232684.2713,16832079676.5244,12115001166.6074,12564460546.0079,14074764558.1889,13656532879.6765,
GDP (current US$),NY.GDP.MKTP.CD,India,IND,721585293250.318,834216897836.722,949116769619.216,1238700195643.9,1224096625885.47,1365372912989.09,1710917218018.04,1872845406804.92,1841717371769.71,
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,256836883304.553,285868610016.591,364570525997.054,432216737774.861,510244548959.967,539579959052.699,709266023255.217,846483465279.177,878192879854.367,
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,163226579221.096,192014940324.054,222880533511.287,286057933325.518,355988367221.614,362661111280.071,422567967404.512,514059508513.901,,
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,25509364916.0308,36743640204.0491,65141035027.9406,88837727881.3965,131611819294.275,111659988888.889,135488471367.521,180606795373.675,210279947255.575,
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,186492264265.271,202752241478.884,222958270102.78,258307438734.366,262030325150.328,224042002433.864,205903504498.684,220823245966.667,210330986079.969,
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMY,2758117365.04863,2915710378.28299,3437450711.55028,4075664785.25458,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,126571173583.222,133959001782.531,145479599622.963,167111803510.138,201661649944.259,194866363197.111,231674511901.578,258216880939.072,,
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1735521503771.58,1786275014006.62,1872982702430.31,2127180496503.06,2307311495086.24,2111148008711.62,2041954747600,2192357094734.72,2013263114238.88,
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,10173234921.1116,11075778481.0127,11903020643.5944,12820055024.6163,13681102578.1679,12068651825.065,13202861066.6056,14425917750.9294,14839858411.0574,
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,4655803055650.55,4571875737175.42,4356761451087.28,4356329296669.33,4849208099923.57,5035141567658.9,5495379357484.62,5896794887858.66,5959718262199.13,
